Model,Size,Repeat,Accuracy,Time,LogSize
Logistic,32,72,0.2571001494768311,0.23000000009778887,1.505149978319906
Logistic TAN,32,72,0.24813153961136025,0.7400000001071021,1.505149978319906
NB,32,73,0.6696562032884903,0.2899999999208376,1.505149978319906
TAN,32,73,0.5246636771300448,0.8699999999953434,1.505149978319906
Logistic,32,73,0.34080717488789236,0.25,1.505149978319906
Logistic TAN,32,73,0.38714499252615847,0.75,1.505149978319906
NB,32,74,0.6552067762830095,0.30000000004656613,1.505149978319906
TAN,32,74,0.5455904334828101,1.1099999999860302,1.505149978319906
Logistic,32,74,0.30144494270054806,0.3299999999580905,1.505149978319906
Logistic TAN,32,74,0.29546586945690084,0.809999999939464,1.505149978319906
NB,32,75,0.5954160438465371,0.31000000005587935,1.505149978319906
TAN,32,75,0.47932237169905334,0.8499999999767169,1.505149978319906
Logistic,32,75,0.3089187842551071,0.19999999995343387,1.505149978319906
Logistic TAN,32,75,0.31689088191330345,0.7199999999720603,1.505149978319906
NB,32,76,0.6661684105630294,0.30000000004656613,1.505149978319906
TAN,32,76,0.43996013951170904,0.8000000000465661,1.505149978319906
Logistic,32,76,0.3009466865969108,0.2099999999627471,1.505149978319906
Logistic TAN,32,76,0.32934728450423517,0.6800000000512227,1.505149978319906
NB,32,77,0.6138515196811161,0.30999999993946403,1.505149978319906
TAN,32,77,0.5540607872446437,0.9100000000325963,1.505149978319906
Logistic,32,77,0.3029397110114599,0.22000000008847564,1.505149978319906
Logistic TAN,32,77,0.3148978574987544,0.6199999999953434,1.505149978319906
NB,32,78,0.6596910812157449,0.30000000004656613,1.505149978319906
TAN,32,78,0.513702042850025,0.8199999999487773,1.505149978319906
Logistic,32,78,0.3158943697060289,0.22000000008847564,1.505149978319906
Logistic TAN,32,78,0.3218734429496761,0.6199999999953434,1.505149978319906
NB,32,79,0.5939212755356253,0.2999999999301508,1.505149978319906
TAN,32,79,0.5107125062282013,0.9100000000325963,1.505149978319906
Logistic,32,79,0.3143996013951171,0.2000000000698492,1.505149978319906
Logistic TAN,32,79,0.3173891380169407,0.6199999999953434,1.505149978319906
NB,32,80,0.6761335326357748,0.30000000004656613,1.505149978319906
TAN,32,80,0.5595416043846537,0.8100000000558794,1.505149978319906
Logistic,32,80,0.2670652715495765,0.2099999999627471,1.505149978319906
Logistic TAN,32,80,0.24265072247135028,0.6099999999860302,1.505149978319906
NB,32,81,0.6163428001993024,0.30000000004656613,1.505149978319906
TAN,32,81,0.47334329845540607,0.8399999999674037,1.505149978319906
Logistic,32,81,0.3333333333333333,0.2099999999627471,1.505149978319906
Logistic TAN,32,81,0.3517688091679123,0.6099999999860302,1.505149978319906
NB,32,82,0.6223218734429496,0.30999999993946403,1.505149978319906
TAN,32,82,0.523168908819133,0.9899999999906868,1.505149978319906
Logistic,32,82,0.28998505231689087,0.2099999999627471,1.505149978319906
Logistic TAN,32,82,0.2949676133532636,0.6300000000046566,1.505149978319906
NB,32,83,0.6382660687593423,0.2900000000372529,1.505149978319906
TAN,32,83,0.48231190832087695,0.8199999999487773,1.505149978319906
Logistic,32,83,0.3278525161933234,0.21000000007916242,1.505149978319906
Logistic TAN,32,83,0.31639262580966615,0.6099999999860302,1.505149978319906
NB,32,84,0.6601893373193821,0.2899999999208376,1.505149978319906
TAN,32,84,0.536123567513702,0.809999999939464,1.505149978319906
Logistic,32,84,0.3024414549078226,0.19999999995343387,1.505149978319906
Logistic TAN,32,84,0.32585949177877427,0.6099999999860302,1.505149978319906
NB,32,85,0.6482311908320877,0.30000000004656613,1.505149978319906
TAN,32,85,0.5022421524663677,0.8499999999767169,1.505149978319906
Logistic,32,85,0.38365719980069757,0.22000000008847564,1.505149978319906
Logistic TAN,32,85,0.35226706527154955,0.6099999999860302,1.505149978319906
NB,32,86,0.5889387144992526,0.2999999999301508,1.505149978319906
TAN,32,86,0.4564025909317389,0.8699999999953434,1.505149978319906
Logistic,32,86,0.2750373692077728,0.2000000000698492,1.505149978319906
Logistic TAN,32,86,0.2610861983059293,0.6099999999860302,1.505149978319906
NB,32,87,0.6636771300448431,0.2800000000279397,1.505149978319906
TAN,32,87,0.5814648729446936,0.9000000000232831,1.505149978319906
Logistic,32,87,0.2207274539113104,0.2099999999627471,1.505149978319906
Logistic TAN,32,87,0.2571001494768311,0.5999999999767169,1.505149978319906
NB,32,88,0.5251619332336821,0.30000000004656613,1.505149978319906
TAN,32,88,0.36571998006975587,0.8900000000139698,1.505149978319906
Logistic,32,88,0.24464374688589935,0.19999999995343387,1.505149978319906
Logistic TAN,32,88,0.24613851519681115,0.6099999999860302,1.505149978319906
NB,32,89,0.6442451420029895,0.2999999999301508,1.505149978319906
TAN,32,89,0.5032386646736422,0.8299999999580905,1.505149978319906
Logistic,32,89,0.32336821126058796,0.2000000000698492,1.505149978319906
Logistic TAN,32,89,0.33781763826606875,0.6099999999860302,1.505149978319906
NB,32,90,0.6253114100647733,0.2999999999301508,1.505149978319906
TAN,32,90,0.4763328350772297,0.8900000000139698,1.505149978319906
Logistic,32,90,0.33432984554060785,0.19000000006053597,1.505149978319906
Logistic TAN,32,90,0.312406576980568,0.6300000000046566,1.505149978319906
NB,32,91,0.669157947184853,0.2899999999208376,1.505149978319906
TAN,32,91,0.534130543099153,0.8899999998975545,1.505149978319906
Logistic,32,91,0.2999501743896363,0.2099999999627471,1.505149978319906
Logistic TAN,32,91,0.3089187842551071,0.6199999999953434,1.505149978319906
NB,32,92,0.6736422521175884,0.2800000000279397,1.505149978319906
TAN,32,92,0.5032386646736422,0.8199999999487773,1.505149978319906
Logistic,32,92,0.23667164922770303,0.22000000008847564,1.505149978319906
Logistic TAN,32,92,0.28649725959143,0.6099999999860302,1.505149978319906
NB,32,93,0.6865969108121575,0.2899999999208376,1.505149978319906
TAN,32,93,0.5904334828101644,0.8399999999674037,1.505149978319906
Logistic,32,93,0.2949676133532636,0.19999999995343387,1.505149978319906
Logistic TAN,32,93,0.3811659192825112,0.6100000001024455,1.505149978319906
NB,32,94,0.6243148978574987,0.30000000004656613,1.505149978319906
TAN,32,94,0.547085201793722,0.8000000000465661,1.505149978319906
Logistic,32,94,0.2645739910313901,0.21999999997206032,1.505149978319906
Logistic TAN,32,94,0.32934728450423517,0.6099999999860302,1.505149978319906
NB,32,95,0.6028898854010961,0.2899999999208376,1.505149978319906
TAN,32,95,0.4962630792227205,0.9899999999906868,1.505149978319906
Logistic,32,95,0.28400597907324365,0.21999999997206032,1.505149978319906
Logistic TAN,32,95,0.3129048330842053,0.6099999999860302,1.505149978319906
NB,32,96,0.5929247633283508,0.2900000000372529,1.505149978319906
TAN,32,96,0.5266567015445939,0.8399999999674037,1.505149978319906
Logistic,32,96,0.27254608868958646,0.2000000000698492,1.505149978319906
Logistic TAN,32,96,0.2620827105132038,0.6199999999953434,1.505149978319906
NB,32,97,0.7100149476831091,0.30000000004656613,1.505149978319906
TAN,32,97,0.5445939212755356,0.8800000000046566,1.505149978319906
Logistic,32,97,0.3278525161933234,0.21000000007916242,1.505149978319906
Logistic TAN,32,97,0.39860488290981566,0.6099999999860302,1.505149978319906
NB,32,98,0.6651718983557549,0.2899999999208376,1.505149978319906
TAN,32,98,0.515695067264574,0.8699999999953434,1.505149978319906
Logistic,32,98,0.25909317389138015,0.2099999999627471,1.505149978319906
Logistic TAN,32,98,0.3388141504733433,0.6199999999953434,1.505149978319906
NB,32,99,0.6233183856502242,0.2899999999208376,1.505149978319906
TAN,32,99,0.5007473841554559,0.9299999999348074,1.505149978319906
Logistic,32,99,0.3064275037369208,0.21000000007916242,1.505149978319906
Logistic TAN,32,99,0.28400597907324365,0.6199999999953434,1.505149978319906
NB,32,100,0.6552067762830095,0.2800000000279397,1.505149978319906
TAN,32,100,0.4952665670154459,0.8800000000046566,1.505149978319906
